Produto;Preáo;Pgto.;Nß Parcelas;Parcelamento;Data;Cliente;E-mail;DDD;Estado;Regi∆o;Telefone
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;01/01/2018;Jonatas Martins;jonatas@gmail.com;92;Amazonas;Norte;984300000
Produto A;R$ 500;Cart∆o de Credito;2;Parcelado;01/01/2018;Jhonns Martins;jhonns@hotmail.com;85;Cear†;Nordeste;999000000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;01/01/2018;Samuel Martins;samuel@gmail.com;32;Minas Gerais;Sudeste;988500000
Produto A;R$ 500;Cart∆o de Credito;2;Parcelado;01/01/2018;Danubia Martins;danubia@gmail.com;31;Minas Gerais;Sudeste;989700000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;01/01/2018;Presley Martins;presley@hotmail.com;28;Esp°rito Santo;Sudeste;999500000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;02/01/2018;Tonny Martins;tonny@gmail.com;81;Pernambuco;Nordeste;984200000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;02/01/2018;Elaine Martins;elaine@gmail.com;11;S∆o Paulo;Sudeste;975500000
Produto A;R$ 500;Cart∆o de Credito;11;Parcelado;02/01/2018;T†rcio Martins;tarcio@hotmail.com;79;Sergipe;Nordeste;998400000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;03/01/2018;Alefy Martins;alefy@gmail.com;11;S∆o Paulo;Sudeste;995800000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;03/01/2018;Janete Martins;janete@hotmail.com;34;Minas Gerais;Sudeste;996600000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;03/01/2018;Waldomiro Martins;waldomiro@hotmail.com;15;S∆o Paulo;Sudeste;997300000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;03/01/2018;Jady Martins;jady@yahoo.com.br;11;S∆o Paulo;Sudeste;984400000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;03/01/2018;Eliana Martins;eliana@yahoo.com.br;11;S∆o Paulo;Sudeste;970400000
Produto C;R$ 2.000;Cart∆o de Credito;6;Parcelado;03/01/2018;Eleandro Martins;eleandro@hotmail.com;67;Mato Grosso do Sul;Centro-Oeste;999100000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;04/01/2018;Tito Martins;tito@gmail.com;21;Rio de Janeiro;Sudeste;979800000
Produto C;R$ 2.000;Cart∆o de Credito;4;Parcelado;04/01/2018;Gelden Martins;gelden@gmail.com;27;Esp°rito Santo;Sudeste;998600000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;04/01/2018;Jennifer Martins;jennifer@hotmail.com;11;S∆o Paulo;Sudeste;995200000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;04/01/2018;Ivy Martins;ivy@gmail.com;21;Rio de Janeiro;Sudeste;985400000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;04/01/2018;Manoel Martins;manoel@gmail.com;11;S∆o Paulo;Sudeste;999000000
Produto C;R$ 2.000;Cart∆o de Credito;4;Parcelado;04/01/2018;Kizy Martins;kizy@gmail.com;11;S∆o Paulo;Sudeste;991400000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;05/01/2018;Alanderson Martins;alanderson@hotmail.com;84;Rio Grande do Norte;Nordeste;981800000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;05/01/2018;Silas Martins;silas@gmail.com;71;Bahia;Nordeste;993300000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;05/01/2018;Rosiele Martins;rosiele@gmail.com;19;S∆o Paulo;Sudeste;999700000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;05/01/2018;Ot†vio Martins;otavio@gmail.com;34;Minas Gerais;Sudeste;998100000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;05/01/2018;Rayan Martins;rayan@gmail.com;27;Esp°rito Santo;Sudeste;996100000
Produto C;R$ 2.000;Cart∆o de Credito;3;Parcelado;06/01/2018;Carmen Martins;carmen@yahoo.com.br;11;S∆o Paulo;Sudeste;991000000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;06/01/2018;Joyce Martins;joyce@yahoo.com.br;51;Rio Grande do Sul;Sul;982500000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;06/01/2018;Nilo Martins;nilo@gmail.com;85;Cear†;Nordeste;986400000
